pid,score_plain,score_enc
0,2,757592451510779260796390971389830504082530997795106283699760954667667999494648082437797711739205775310422856493254165676312525894550244202524602748423353580877953248982874749788055640509770830298954942952871249988915397943405809159700506403777123046096863143887222028356698567929374718075281175379141551796629532257536038357624840204964538119776796417492063547536754849805259248087807407113339985425867620312404668000637379379686562306401351744177716115201842948544029933744871614360203898819094374900833794226198793916637005772783401348982145549740685140996332231887519159959786268952884106929299615658268357138231073194990428263845701402207225237348494516132842797081200163169646299961222459449186614537173784277658900393240714191914075036738303499016934181520897383700967594763632476558322375345562171342144217272748587455733502916582364079950740344446852701975784191639309731877199215992908644909532265042096700827834589502352493871181476651241462294494344042765093840724192690989917909347676332002090381306995815237324426471332135532925808280878433659825404645690732248515929432642559099253396086871091885841606861861182921403588151374513021415477150198457625798244396754562332511704831385841914233769938338289991364183815333212
1,4,594183150671927089308547360844983235878751344044447546933761052428367726086443957775744147080600614183018406023157466806136378398530212895246614467850980053090869082982535676984253216298303559554628412485111576908863417019694915968686749978343541316306273456670263242658188628642389175402044860089407774164058121616722826461996694873905957313860416573084303275997369997874552999076566460317002010861923205222856207800857180952271898148558239072529383898138529490128900702302419045399462755745179405016311788560096827266938320571593289082258619265411572921586598331573567276847488747979613618624029409384174574441813414937855760213391741452796422466990753809994920635716327772742430548518254580638155748244765313475624133165250085425436428984549721675107352430769273777129686059757366590294820729829106059424961407390326448382366070136980340506074059599830676303916542448171468877051628580686668132652686632638927834073930644341246281322093010780926314959286924183882098264288393955245512204971519856606592081988024653390642080646192070800334615271737789929959729640224546095934902444246024464591276988851073212069111511325609319484416704512835217256712286525771532363981130722849895967258234302534047919217601394473449534122417014597
2,1,755175859279058221409321030650972804388690249110800228081301879419718328986292273547629705480108444102354103290960384945093770788814398772324406694310606574013182479362905694470064612981159969882201022927043393213807361451873998671972473868649573679911478627418198620737218342237681301376073644423593110713125852647475604817835388115587273460515161517581206337467273667081850553875031776909944741930642118699644675183299062639841563250024192369627264598948514762782834093347683594353999836046567682707287067387744526277464257760063335240069723166813593807564973639467535077293336583080389081547249454323040390977469717071783775390029522672341385826276504860148519400961866739715511457688959239891436854108094371161661356861348754446896267791159176270618557128072542992590495162175104172815309078251341076806318894478610100221727157723852519906424363334677251730563518634951887068679596452808355360980098152379020284248721950001125142613393638529497694871563071027770467580056873850211266076117943137468059806765984446729463095475266964440393828073730760795430534392524048769886694976345761097256240814876792207897532584655067373453910513498364585091499271539495245922296886385577986160721158161325617058044532438254630232526484993972
3,2,370245629951094523189789730151493551281760457656510931701839086443958939026833642237207229741078353620978850905999686815427356499792768860476168431410014107811721073970197959825464346875920202072293018515865841416492570020655119463607483144279056574528639451694767403841845296233055315967039335164128825407226545776883729448837722305767425140034180773703464539982031201911514524837416211504052584259259566333997762334161696199894205922634298424436921349558878719899461337638157584560939212000427255222865667634025094676047933949369448861016085633982560134773009551537966211934807863104837129205193053956406784816069552097417162444413095819642284625346434099356921592180582399705802043562583085002598615333509371228004585929909666439094771201550023404153087641617049301287473099080581792335846336041565532667942189919267149026862976360912741171767724550922878277031830938865846217890148972438159338792874247140992060434111149473719153867782117487478549026386012858760789074886705834214852439619997265077096619770683387337024462234032906416553748880963937532996543645813497984959965620810852307266171923841513442656218360900630036292745656501297454461665860108728389828991708716282724640309000958088104153757160225959133144314897657330
4,2,181735999347501164408727191297966383230986845604562664114860685177798381728318686563243428046405462826364981980231906657123522971668032430977101118401987413255359265031624765031102946773396274667785222274242874814089813467598716412872879069903848748248575338180398682286364502798684289138758895226258477099969264660841389179558863329948917174897993980547364377388773299743864595329622323065101614906639347026348501669030109953071047655344704701675526604883758334748215026478663862770275767972806383496237147534967765458199334682217929214241064893575986729361300818210591959893929325748263990656378006501359398168940697829180870218313041106649333082318435833800785125106402111995105215254351673178103256949726037243021148932770586002977664123416705565251635755788972846290164010681920625352410989889473570915163873570144187045136263242532591363169009167054662504206697997781347192664049425889622277137066275599480767580314855551260348340800739511971425704885093234368340334652389833363380644741687593949233077093089591684289666400384804467739033913506638377252931785429451105139822875275804732776425557163124401938926426912592472003186118514053211449398060524450851306845311643730049593672357776749329726345551480244769009280200255772
5,4,355652142570198177870726771954309342914415955236433572904274408281033701257356835181864485648245842386181646694061548191436005040642112154312096092270745172378395257117698776590218335532358825274193536085978656876798097213153933435374060919845677092597069189746031603450739424675675591575294209862743187333459961014030368485420323933033355845692796004980811148255273777896649391333681766542927798521137270032628762496602338527550559933703272848498108163959458171769049281253318086062300060856769857393961132741636674814932627841120206874954857792980019076713751823448813152724487720223886581888424729645407392181588322702343725014121011470880400134971892803577278645290033462763222145147219403142506379023762106317064006625843847441023453242145093593749955305166015590160226478839992161304487859283633914271005261697555838479165407740082287407442287247131808375052163814873756442184490234583957627772343583200392087594609822734180033212744628205017618477107915097868347571893939142693954159626200020020471524208775148501504949795374554712496748002133357533416231387687063460274081800633846866955924441303561137966536643497000566166260077238711304530800958795304353392909306879377587982893101322662101978366544787660541831479311664450
6,2,20641990095782438034709698695268886500960102875964469974538594216215365126411378813245216667051726758125739210349092436405236026085930820632050175521257278212054889873461528852275118100981015843860143850056896990164808745453618456101267630887979270023038781351526512213025493141018062187045146916505261924963566592764510717356036021768729836096910950930755746338022087474936851932916856425998929365618600967421620481393080960791721064829681091599656688970239442443156411169097171512408047909231642973891738694349888830437263013634959266286317421760129116210647974780865726066956375242756609582178963407114203033684300989528596460434903716524538341744774709905110506034680170825818240817124878063392948441341480169699015094582812715791005902851041459437610163167950082398924681195170302226263236921946399409775731643508811139843536064521304580034960687475382304348977264324687494975615797297112818134695756373494318166921674672745039037961619287139446837722202449252286206777781970473320281279142061790171135959106247829142986612544987262015783373640450296239006665554413912166162771332618221968246373831449762727710390845859532774706679094761642682526173077150633019140609966038763268554034489490796125262452031909945145136838522181
7,2,187186151658719979244267174121582391051153436518035303764193520175482618171874497038711295400067957224702274768518308732789859561256644786624298652181966685594454816946309127161159030141533858164840736659147531286541693175154131269444453534199106213251775317962757054278260534543102245558492793305286903653586026359822293955133138065143035080014619332131017528513891166508114815822564495022569411090681872028516742547372753209348773656396169036281122626068395121048021882218692855839000472134307650500971939990678271782084735821646969255041417362222366549127443039157491235758520459574993538312943687741972996968542564724744933726495480149244917237450023834163069154716524546259122794539644341698728305554842268925136263456684571365187803486539085741732790144641892100176654468750216667703787384014185092046371199776158409179088143840517513414590249885812260614431187110746482149871919895415054763545618273677940885178453634751466971929969995234251964468504408945533197845118088035129622436220113587807716250822145465369418829594562538360627019042083589573734702008969223788477009567146020149782700412170008421988245243223677563517904554581569236794482642772791769506929442930803433729209055624084369788018669508660231893880572312740
8,1,223378912541685809634888989813149921657046850201189532294391461482998970288956359035961030806803046468636007646192805035302791227322121883450255234055067207570641851326239204677303201875785503885682386070467401793566426883620235745459073073949350772290348459643130283220756789092114076400811719885850367567208709005530855886185831649260526191270290051276210648848786217614339376293793361131435878691052435221557451113502158803108998008514241561408508774674603808405192057538370860968485044371799741844353486989406232696925590623566611583472208122749647014449736578226924156838056738014760555522724514561387030487803345238209502244032194347480822452036224803620660988834312868031843516075292354365532200001706386015632557633357960261180862088510630697575395455446402975771664613678761444572191043404760515389543594445045930974795659224031025067530116642003544270622065913762667639718636054119980934407442704096401309335351799502326431351380213106574356901716649960606274184122105688364032704753993156587534197628189983563832856767475187825043880960303569771160799581058617053521231270660122166481335853504763939835726445840153295602089394459306705333542516264108967497452687852538614165348863142516640790513428794962904430484324810316
9,2,284069812014397328618671421610835995111120930832898599091951344599424807766358836592044786304532804660072402172318879042343366535934975701183415706202204608519284957767284774742683889969690368432049486927119258768368190114300763184459467580452150634106343313969591847830915634920682549487017851968950225467255964262817809825531866689419014103387404479569358671104570397543179336863942205244390102358541683786027279872150957853436642457211993997048471378435652184695225118570730154001088733475793703002600971915886298979863279582183354933808214459628930980951827165685321530036121187441631775990393193643585588942967348691354404823210735333205605552364470097276848537923461547554705163238350478113703505723120784626436830966307340091569055127274425240432951557241195061352720645633389999329175945343512670430193353310594642527567414634389162755618048183035500157955712029921135077429919977760985281389331282592299273543060723789577091086439765744514011287506573774134555767087201312254909383909085923930937932970407472772013603273867413506576475926066434186705655325440769608261714860666865014244992828989088728127900928294610962234575849202771421515176331384490662361802934552096657877962920372435562212647286325323007545740358371014
