a,b,c
8709773126453214459,9074426644547771292,15203617712070810969
13401020783882126122,14789444512023167999,16615753385888210196
6708649585635555023,9550192742728293176,3006545253261389407
8537888866526342460,11911831771071782821,14197674056215874591
3788348364387944381,14443287321461784378,17005478987010102300
4639249577869164381,13134042247745876854,7560458143167617272
3177805840076146400,1275987581728609087,5747259540756131997
9220865583899560051,14821168886102737071,13466804546680543680
4127373410510519600,10586614034872678369,4601213886406283066
9644615420236224427,4667262328080467794,11807071656864510586
